topic_link,date,user_id,user_rank,heading,reply_flag,topic_mark,body,views,found_helpful,image_flag,cateogry,normal_date
https://community.ebay.com/t5/Buying/Buying-From-Sellers-with-90-Ship-Time-DON-T-Do-It/td-p/30945159/jump-to/first-unread-message,"May 15, 2020 10:31:19 PM",moldy5,Guide,Buying From Sellers with 90 Ship Time-DON'T Do It!!,0,,"Hey Fellow Ebayers, the past month I watched 5 items I bought over 60 days ago drop off ""My Purchase History"".  They were all very cheap & was in no hurry to get. When I paid my crummy 75 cents or less for each, I knew the sellers said 90 days until estimated delivery. So I expected a long wait. I did not expect each of the 5 items to disappear from my History or my ""need to leave feedback list"". It's like they never existed!  I just emailed the seller in China (yes I know....) who said, ""sorry can send 5 more or can refund you."" duh.  My lesson to you is look out if the shipping estimate is 90 days or so. This means the tracking number is fake, you won't see the item.   I admit to this happening many times in my 10+ years of shopping here. But thankfully this is the 1st seller to even message me back. I have a teeny bit of hope. This time.  Be careful even if it's a small bit of money. They sold very low yes. But we still should get the item!!!",17 Views,0,0,Buying,2020-05-15
https://community.ebay.com/t5/Getting-Started/Earning-badges-What-quot-earned-by-quot-number-means/td-p/30939243/jump-to/first-unread-message,"May 13, 2020 6:39:46 PM",guangxi_hone,Scout,"Earning badges. What ""earned by"" number means",0,,"Under all of my badges I see ""earned by"" then a number i.e. 794752.Could not find what it means. Just wonder.Thank you. 

	VVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVIf you consider it a sport to gather your food by drilling through 18inches of ice and sitting there all day hoping that the food will swim by,you might live in Michigan. Jeff Foxworthy.",114 Views,0,0,Getting-Started,2020-05-13
https://community.ebay.com/t5/Selling/What-do-we-do-if-the-USPS-closes-or-drastically-increase/td-p/30943463/jump-to/first-unread-message,"May 15, 2020 9:25:24 AM",hotplatters,Adventurer,What do we do if the USPS closes or drastically increase shipping fees ???,0,,"As a seller on Ebay,  I'm growing increasingly concerned about the future of the USPS (United States Postal Service)... The maniac in the White House wants to force them to charge up to four times their current fees, become privatized, or shut down completely.. If he gets his way, it will very likely mean the end of ""media mail"".. and as a result, shipping fees will be outrageous and unaffordable... I'm wondering what others sellers and buyers are planning on doing if / when our postal system is gutted  ?? Personally, I'm not ready to retire...    Stay safe everyone...    Ed O.",470 Views,1,0,Selling,2020-05-15
https://community.ebay.com/t5/Toys-Hobbies/HO-Trains-Repair-of-Crown-Gears-on-Mantua-Steam-Locomotives/td-p/30943076/jump-to/first-unread-message,"May 15, 2020 7:07:51 AM",articulatedgeared01,Thrill-Seeker,HO Trains - Repair of Crown Gears on Mantua Steam Locomotives,0,,"Fri 5-15-2020 7:30 a.m. Mantua steam locomotives are fitted with a nylon worm gear and a nylon crown gear.  Over time, the teeth on the crown gear wear away in the middle.  Eventually, the flat spur gear tooth (angled to match the helical gear) may become severely dished (concave) and the helical gear will no longer engage the crown gear.  The motor will free spin and the locomotive wheels will not move. Mantua locomotives are a very good product, but there is a basic problem  running two gears together which are made from the same material.  For example, it is not a good idea to run two brass gears together due to galling and wear.   Frequent lubrication does help.   (Note: Akane brass locomotives run a steel worm gear on a micarta composite material made form cloth / phenolic resin.  The differing materials provide a drive train with longer life.) Historically when I have found a used locomotive with a defective crown gear (an eBay purchase or a train show purchase), I have needed to replace the gear.  I either found a used gear or I hand machined a replacement from 1/8-inch thick micarta sheet using the old crown gear as a template (tooling). Although I have experienced success making crown gears from micarta for Mantua 4-6-2's and 2-8-2's, I have run into problems more often on the 0-4-0's and 0-6-0's due to the smaller diameter of the crown gear and lack of available gear templates.    Late last night I had problems with one of my home-made gears on a Mantua 0-6-0 and I was going to fabricate another crown gear from micarta.Instead, I decided on another approach. I found a worn-out nylon crown gear mounted on a driver for a Mantua 0-4-0 or   0-6-0 with the wear I previously described.  I decided to go in and file the space between the gear teeth with a thin diamond cross-section jeweler's file.  In addition, I choose to position the file at a 30-degree angle to the driver axle.  What this does is to remove material from the outer side of the crown gear tooth (on each side of the crown gear).  It is necessary to file one side of the crown gear at a time,  turn the gear around 180 degrees, and repeat the filing process.  The worn gear tooth material in the middle of the gear tooth is left alone.  the filing  actually makes the gear smaller in diameter.   I decided to remove the driver wheels from the axle and mount the axle-crown gear subassembly in my jeweler's vise for filing.  I have the capability to remove the driver wheels with a puller tool and re-quarter the wheels.  However, it is very likely that the same filing work can be done without even removing the driver wheels.   (Note: It might be a good idea to put some masking tape on the driver wheel tires to protect the surfaces during the filing process.) Once the 30-degree filing is completed on both sides of the crown gear, some adjustment of the motor is nccessary to engage the smaller-diameter crown gear.   The back of the open-frame motor has a small tang with a #2-56 threaded hole for mounting purposes.  The tag can be bent down slightly with a pair of needle-nose pliers.  This will cause the motor to pivot around the forward mounting screw and permit the helical gear on the motor shaft to engage the crown gear.  Alternately, the tang can be shimmed up against the loco chassis. Once the gear modification has been made, the surface of the teeth will look a bit ratty (that is, rough and not smooth).  A small dab of Vaseline can be applied to the surface to help the gear teeth ""run-in"" or ""wear-in"".   Frankly, I was quite surprised it worked, but it did work.  Happy salvaging. Regards, ag01",49 Views,0,0,Toys-Hobbies,2020-05-15
https://community.ebay.com/t5/My-Account/My-reviews-are-not-posted-after-waiting-the-week/td-p/30945230/jump-to/first-unread-message,"May 15, 2020 11:32:01 PM",skakay0,Adventurer,My reviews are not posted  after waiting the week,0,,"Hi I carefully ordered 8 wall. chargers for my tablet. I Received 7. The package was flimsy. All packages were crushed. The units work but were older models. My reviews were accepted  but feedback was erased by eBay out 100 dollars transaction  May  4,2020",5 Views,0,0,My-Account,2020-05-15
https://community.ebay.com/t5/Buying-Selling-Basics/Can-t-see-images-screen-messed-up/td-p/30941984/jump-to/first-unread-message,"May 14, 2020 5:23:52 PM",auntspacey64,Adventurer,"Can't see images, screen messed up",0,,My screen has been looking like this on and off for about two weeks. I have updated all s/w and cleared cache. Nothing works. I have windows 10 and using firefox.,54 Views,0,1,Buying-Selling-Basics,2020-05-14
https://community.ebay.com/t5/Tools-Apps/Abandoned-Job-Bad-File-for-Job-1035683491-Could-not-invoke-the/td-p/30941397/jump-to/first-unread-message,"May 14, 2020 2:02:59 PM",cjarvis16sr8,Adventurer,Abandoned Job: Bad File for Job: 1035683491 - Could not invoke the HTTP client Socket read from file,0,,"We are trying to update our custom label fields on just under 3000 listings using file exchange.  We keep getting the following error.Abandoned Job: Bad File for Job: 1035683491 - Could not invoke the HTTP client Socket read from fileex-wiuiq.vip.stratus.lvs.ebay.com failed without retry. Item ID 133061000000 was submitted too many times. The only columns in the file are Action, ItemID and Customlabel. Any ideas?",48 Views,0,0,Tools-Apps,2020-05-14
https://community.ebay.com/t5/Technical-Issues/They-Deleted-My-Draft-Listings-AGAIN/td-p/30945051/jump-to/first-unread-message,"May 15, 2020 8:55:35 PM",the*cream*of*the*crop,Adventurer,They Deleted My Draft Listings AGAIN!!!!!,0,,"On May 8th I sent the following message to customer service:To the person responding, please speak and write good English! I need to be able to understand you.My store is currently on vacation as I had an accident and was hospitalized recently.  I have 187 items in my drafts folder. Suddenly I am having trouble accessing over 100 of them. I get an error message saying ""looks like something went wrong, please try again"". These listings have to be updated or I will lose them!!! With that many listings in the drafts folder, I can't afford to lose any of them!!!I need to speak to someone immediately to determine what the problem is. I have tried to update the listings by going to ""complete drafts"" but then I get the error message that 119 items cannot be found or accessed!!!The last update on these was April 20th. We HAVE to correct this before I lose most of my listings. Please help IMMEDIATELY!!!  Well, for almost a week I have been in contact with eBay and getting the standard responses of : Thank you for reaching eBay Customer Service. I understand that your urgency to have the issue in completing the draft be fox as soon as possible.  I’ll explain to you further about it. First off, we apologize for the delayed response, due to the high volume of messages we have been receiving recently and limited staffing caused by this pandemic situation, we weren't able to get back to you sooner. We appreciate your patience and understanding on this matter and rest assured that we are working on this to answer your queries as soon as we can. Your patience in waiting is well appreciated. as of the moment our technical team is doing their very best to fix the problem as soon as possible. As much as we want and we are eager to resolve it, we need more time to have it resolve. We are also trying to take some other option to find workaround that we can offer to the affected members, but as of now we don’t have yet. I hope this information is helpful. If you experience any problems or have additional questions, you can contact us by selecting Help & Contact at the top of most eBay pages. Yesterday, they wrote: you don’t have to worry because you won’t lose your listings. As long as they are not removed by you or by eBay, you won’t lose them.Anyway, I appreciate you for your patience and understanding of the whole process.I wish you and your family good health. Take care always, Thanks for choosing eBay. We value your business.Respectfully, This afternoon I am missing 100 of my listings!!!!  Which technically should not have even been removed until the 20th because they were last updated 4-20.  This has happened to me several times in the past.  I started on this a week ago with the hope they would fix it.  I wrote telling them I am livid!!!  The only saving grace is that I kept a photo of the drafts folder but that won't save me the time it will take to have to replicate all of those listings. Only once when this happened in the past were they able to recover my listings.  Ever after that they gave me the excuse that they could not.  I use the eBay system to do my listings, no other program. Does anyone have any thoughts or suggestions?  I'm under the impression writing to their corporate office is a waste of time.",14 Views,0,0,Technical-Issues,2020-05-15
https://community.ebay.com/t5/Getting-Started/Earning-badges-What-quot-earned-by-quot-number-means/td-p/30939243/jump-to/first-unread-message,"May 13, 2020 7:15:06 PM",candd205,not appliable,"Earning badges. What ""earned by"" number means",1,,It means that is how many people have earned it so far. So if it says earned by 1076. That means 1076 people have earned it so far.,107 Views,1,0,Getting-Started,2020-05-13
https://community.ebay.com/t5/Getting-Started/Earning-badges-What-quot-earned-by-quot-number-means/td-p/30939243/jump-to/first-unread-message,"May 13, 2020 7:22:25 PM",guangxi_hone,not appliable,"Earning badges. What ""earned by"" number means",1,,"Thank you.One more question: why I can not post to some boards while can to others?Has it anything to do with badges, maybe? 

	VVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVIf you consider it a sport to gather your food by drilling through 18inches of ice and sitting there all day hoping that the food will swim by,you might live in Michigan. Jeff Foxworthy.",103 Views,0,0,Getting-Started,2020-05-13
